what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1283789906234
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1283789906234
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1283789906234
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1283789906250
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1283789906250
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1283789906250
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1283789906250
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1283789906250
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1283789906250
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1283789906250
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1283789906250
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1283789906250
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1283789906250
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1283789906250
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1283789906265
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1283789906265
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1283789906265
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1283789906265
os,sysinfo,,,"win32",1283789906265
arch,sysinfo,,,"x86",1283789906265
ws,sysinfo,,,"win32",1283789906265
locale,sysinfo,,,"en_US",1283789906265
processors,sysinfo,,,"2",1283789906265
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1283789906265
java.runtime.version,sysinfo,,,"1.5.0_07-b03",1283789906265
java.specification.name,sysinfo,,,"Java Platform API Specification",1283789906265
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283789906265
java.specification.version,sysinfo,,,"1.5",1283789906265
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1283789906265
java.version,sysinfo,,,"1.5.0_07",1283789906265
java.vm.info,sysinfo,,,"mixed mode",1283789906265
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1283789906265
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1283789906265
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283789906265
java.vm.specification.version,sysinfo,,,"1.0",1283789906265
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1283789906265
java.vm.version,sysinfo,,,"1.5.0_07-b03",1283789906265
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1283789906703
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1283789907875
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1283789908093
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1283789908203
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1283789908406
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1283789908578
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1283789908734
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1283789908750
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1283789909031
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1283789909062
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1283789909125
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1283789909328
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1283789909328
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1283789909437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1283789910500
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1283789910750
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1283789916953
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1283789919062
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1283789924312
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1283789928187
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1283789928328
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1283789928750
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1283789928953
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283789994281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283790207453
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1283790209843
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283790218453
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283818719671
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283818720328
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283818723093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283819789343
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283819888140
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283823674968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283823687187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1283824300437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1283824303296
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1283824307437
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1283824307765
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1283824307984
